# AMPL format 

#WHAT SHOULD THIS BE SET AS?
#
#
# Max Capacity to use in M * x > trans
param M := 90000;

# Nodes
set N := 1 2 3 4 5 6 ;
param NLen := 6;

# Possible Lines
set L := (1,2) (1,3) (1,4) (1,5) (1,6)
		 (2,3) (2,4) (2,5) (2,6)
		 (3,4) (3,5) (3,6)
		 (4,5) (4,6)
		 (5,6)
;

param LLen := 15;

# Budget
param pi := 90000000;

#Size of Lamda and Mu Vectors (number of constraints in primal)
param conLen:= 78;	

#Uncertainty in Demand
param uncD := 1;

#Uncertainty in Supply
param uncS := 0.4;

#Hours in a year
#Multiply this by eta in objective problem
param sigma := 8760;

# Max Lines per connection
param maxLines := 3;

# Cost of each line (Annual)
param c:=
1 2	723200		1 3	7337040		1 4	11584800	1 5	3861600		1 6	13129440
2 3	3861600		2 4	7723200		2 5	5985480		2 6	5792400		3 4	11391720
3 5	3861600		3 6	9267840		4 5	12164040	4 6	5792400		5 6	11777880
;

#Capacity of Each Line
param cap:=
1 2	100		1 3	100		1 4	80		1 5	100		1 6	70
2 3	100		2 4	100		2 5	100		2 6	100		3 4	82
3 5	100		3 6	100		4 5	75		4 6	100		5 6	78
;

# Max Demand
param demmax :=
1	96		2	288		3	48		4	192		5	288		6	0
;

# Min Demand
param demmin :=
1	64		2	192		3	32		4	128		5	192		6	0
;

# Max Supply
param supmax :=
1	225		2	0		3	525		4	0		5	0		6	900
#1	150		2	0		3	350		4	0		5	0		6	600
;

# Min Supply
param supmin :=
1	75		2	0		3	175		4	0		5	0		6	300
#1	150		2	0		3	350		4	0		5	0		6	600
;

# Generating Costs
param gencost :=
1	15		2	0		3	10		4	0		5	0		6	20
;


#Penalty for Unfufiled Load
param  shed :=
1	112.5	2	115		3	120		4	110		5	112		6	0
;

param gen_mu :
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30 	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50 	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78 :=
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1
;

param alpha_mu :
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30 	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50 	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78 :=
